company_name,stock_symbol,legal_name,address,city,state,zipcode,area_code,ABI,primary_SIC_code,SIC6_description,primary_NAICS_code,NAICS8_description,parent_company_ABI,classification,unique_id,parent_company_unique_id
BARRICK GOLD,ABX,Barrick Gold Corp,,,,,,,,,,,,f,3f1c3d8d-7f39-45e9-91b2-78e9ad124b67,
BASHNEFT,BANE,ОАО АНК Башнефть,,,,,,,,,,,,f,fb56e8ca-9a5a-4de9-a39c-849f4e7fa2b3,
BASS OIL,BAS,Bass Oil Ltd,,,,,,,,,,,,f,7e1a854a-e561-4d3d-bbe2-ff525724a0a4,
BATTALION OIL,BATL,Battalion Oil Corp,,,,,,,,,,,,f,0d8b3596-adeb-4274-bb8d-f4ac7ba00a97,
BAYTEX ENERGY,BTE,Baytex Energy Corp,,,,,,,,,,,,f,5c809173-7e03-4999-8512-a46c24c79138,
BEACH ENERGY,BPT,Beach Energy Ltd,,,,,,,,,,,,f,5f006e88-88a1-43a0-9640-26396395b0f6,
BEIJING ENT HLDGS,392,北京控股有限公司,,,,,,,,,,,,f,529c29e2-e82a-43fa-8372-8c5d449ca5e3,
BERRY CORPORATION,BRY,Berry Corp (bry),,,,,,,,,,,,f,bb4d8d45-e110-4b4f-906c-2dc301533192,
BHARAT PETROLEUM CORPORATION,500547,Bharat Petroleum Corp Ltd,,,,,,,,,,,,f,5a4982ff-b3fe-40a4-9f91-299053468e76,
BHP GROUP,BHP,BHP Group Ltd,,,,,,,,,,,,f,6a92b0a7-123e-483c-957f-a472488515c1,
BIRCHCLIFF ENERGY,BIR,Birchcliff Energy Ltd,,,,,,,,,,,,f,927826bf-5549-4a2e-884a-1e3e36a8d6d6,
BLACK STONE MINERALS,BSM,Black Stone Minerals LP,,,,,,,,,,,,f,404e988b-1024-4633-a935-9d1142f2f5c5,
BLACKSTONE,BX,Blackstone Inc,,,,,,,,,,,,f,34ed8db0-1bfa-4abe-8195-deae5b5b4f1c,
BLUENORD,BNOR,BlueNord ASA,,,,,,,,,,,,f,08e51ff2-498a-4c19-8c50-87f27d400240,
BOART LONGYEAR,BLY,Boart Longyear Ltd,,,,,,,,,,,,f,1b5983d9-daf2-467a-90c0-13ab8638a8d4,
BONTERRA ENERGY,BNE,Bonterra Energy Corp,,,,,,,,,,,,f,67cf0963-6cb0-4307-8f60-a20d05e0ad60,
BORR DRILLING,BORR,Borr Drilling Ltd,,,,,,,,,,,,f,4d9a312c-236a-45cd-9cf0-02df23e74215,
BP,BP.,BP PLC,,,,,,,,,,,,f,e02c0a30-1acb-4dda-9b40-9122fc8b1ee2,
BP CASTROL,5015,ビーピー・カストロール株式会社,,,,,,,,,,,,f,01b56513-1ab4-4fed-bcd0-c5c2a1830519,
BP PRUDHOE BAY,BPT,BP Prudhoe Bay Royalty Trust,,,,,,,,,,,,f,183e03e8-dfb0-4f30-8005-b20bb42dcaf5,
BRISTOW GROUP,VTOL,Bristow Group Inc,,,,,,,,,,,,f,b8fdbb10-bec0-4cf8-b977-c5c04a35bf7b,
