Committee name,Registration number,Party,Office sought,District,Registration date,Termination date,Incumbent,Candidate,DistrictKey,OfficeKey
"Lang, Andrew R Senate Committee",17994,RPM,Senate,16,2016-04-01 11:44:00.000,,1,"Lang, Andrew R",16,Senate
"Grossell, Matthew (Matt) J House Committee",17993,RPM,House,2A,2016-03-30 14:48:00.000,,1,"Grossell, Matthew (Matt) J",2A,House
"Cwodzinski, Steve Senate Committee",17990,DFL,Senate,49,2016-03-28 14:29:00.000,,1,"Cwodzinski, Steve",49,Senate
"Scarborough, Darryl Senate Committee",17987,DFL,Senate,47,2016-03-22 10:51:00.000,,0,"Scarborough, Darryl",47,Senate
"West, Nolan House Committee",17968,RPM,House,32A,2016-02-26 15:45:00.000,,1,"West, Nolan",32A,House
"Jasinski, John R Senate Committee",17964,RPM,Senate,19,2016-02-24 08:52:00.000,,1,"Jasinski, John R",19,Senate
"Huot, John Duffy House Committee",17962,DFL,House,56B,2016-02-24 08:12:00.000,,1,"Huot, John Duffy",56B,House
"Wahlgren, Sharna A Senate Committee",17954,RPM,Senate,53,2016-02-11 15:26:00.000,,0,"Wahlgren, Sharna A",53,Senate
"Klevorn, Virginia (Ginny) House Committee",17950,DFL,House,42B,2016-02-08 09:04:00.000,,1,"Klevorn, Virginia (Ginny)",42B,House
"Olson, Elizabeth (Liz) House Committee",17946,DFL,House,8A,2016-02-02 16:23:00.000,,1,"Olson, Elizabeth (Liz)",8A,House
"Becker-Finn, Jamie House Committee",17940,DFL,House,40B,2016-01-27 13:33:00.000,,1,"Becker-Finn, Jamie",40B,House
"Klein, Matthew D Senate Committee",17924,DFL,Senate,53,2016-01-11 13:33:00.000,,1,"Klein, Matthew D",53,Senate
"Simmonds, Dustin House Committee",17923,DFL,House,9B,2016-01-08 16:05:00.000,,0,"Simmonds, Dustin",9B,House
"Frentz, Nick Andrew Senate Committee",17919,DFL,Senate,18,2016-01-04 11:33:00.000,,1,"Frentz, Nick Andrew",18,Senate
"Draheim, Rich Senate Committee",17910,RPM,Senate,22,2015-12-04 14:30:00.000,,1,"Draheim, Rich",22,Senate
"Vazquez, Ruben House Committee",17912,DFL,House,41A,2015-12-04 12:18:00.000,,0,"Vazquez, Ruben",41A,House
"Anderson, Chad D House Committee",17906,RPM,House,51B,2015-11-30 11:26:00.000,,0,"Anderson, Chad D",51B,House
"Lee, Fue House Committee",17903,DFL,House,59A,2015-11-25 16:07:00.000,,1,"Lee, Fue",59A,House
