COMPANY,ADDRESS LINE 1,CITY,STATE,ZIPCODE,AREA CODE,PRIMARY SIC CODE,SIC6_DESCRIPTIONS (SIC),initial classification
FERRELLGAS,900 5TH ST,COLUMBUS,GA,31901.0,478,598401,GAS COMPANIES,f
MONTEZUMA GAS & GO,432 SPAULDING RD,MONTEZUMA,GA,31063.0,478,492501,ALTERNATIVE FUELS,f
SPARLIN HOT OIL SVC,607 S 1ST AVE,MADILL,OK,73446.0,580,138905,CONTRACTORS-OIL FIELD,f
FERRELLGAS,1459 BARNESVILLE HWY,THOMASTON,GA,30286.0,706,598401,GAS COMPANIES,f
CITY SALES INC,105 N LAKE ANTOINE RD,IRON MOUNTAIN,MI,49801.0,906,509903,PROPANE (LP) GAS,f
PHOENIX FIRE DEPT STATION 14,1330 N 32ND AVE,PHOENIX,AZ,85009.0,602,922404,ALTERNATIVE FUELS,f
QUIKTRIP,2804 PACES FERRY RD SE,ATLANTA,GA,30339.0,770,541103,SERVICE STATIONS-GASOLINE & OIL,f
CIRCLE K,1062 HIGHWAY 95,BULLHEAD CITY,AZ,86429.0,928,541103,SERVICE STATIONS-GASOLINE & OIL,f
IKARD & NEWSOM,MILE MARKER 389 OLD AIRPORT RD,POLACCA,AZ,86042.0,505,598401,GAS-LIQUEFIED PETRO-BTTLD/BULK (WHLS),f
FESTIVAL VILLAGE MARKET LLC,19491 N CANYON SPRINGS BLVD,BUCKEYE,AZ,85396.0,623,541103,SERVICE STATIONS-GASOLINE & OIL,f
INTERNATIONAL ENGINES,3925 W INDIAN SCHOOL RD # B,PHOENIX,AZ,85019.0,602,753809,ENGINES-GASOLINE,f
CARL'S JR,789 W BEALE ST,KINGMAN,AZ,86401.0,928,581208,ALTERNATIVE FUELS,f
FAS FUEL,3601 N ORACLE RD,TUCSON,AZ,85705.0,520,554101,OILS-FUEL (WHLS),f
BUBBA & SON DIESEL REPAIR,2380 SIGMAN INDUSTRIAL CT NW,CONYERS,GA,30012.0,770,753812,DIESEL FUEL (WHLS),f
CIRCLE K,105 N HIGHWAY 49,BYRON,GA,31008.0,478,541103,SERVICE STATIONS-GASOLINE & OIL,f
AMPM,7849 N 43RD AVE,PHOENIX,AZ,85051.0,623,541103,SERVICE STATIONS-GASOLINE & OIL,f
CIRCLE K,2182 E FLORENCE BLVD,CASA GRANDE,AZ,85122.0,520,541103,SERVICE STATIONS-GASOLINE & OIL,f
TEXAS PETROLEUM INVSTMNT CO,694 PAN AM LN,FRANKLIN,LA,70538.0,337,621111,OIL & GAS PRODUCERS,f
SHAPLA SERVICES CORP,2610 DELK RD SE,MARIETTA,GA,30067.0,770,541103,SERVICE STATIONS-GASOLINE & OIL,f
JACKSONS,4027 S GILBERT RD,GILBERT,AZ,85297.0,480,541103,OIL & GAS SERVICES,f
QUICK STOP,724 HIGHWAY 11,MONROE,GA,30655.0,770,541103,SERVICE STATIONS-GASOLINE & OIL,f
PHOENIX FIRE DEPT STATION 15,4730 N 43RD AVE,PHOENIX,AZ,85031.0,602,922404,ALTERNATIVE FUELS,f
PATRIOT CAPITAL CORP,3565 PIEDMONT RD NE # 1-430,ATLANTA,GA,30305.0,404,738978,GAS COMPANIES,f
SUNOCO GAS STATION,3325 OWEN RD,FENTON,MI,48430.0,810,554101,OIL & GAS SERVICES,f
VELARO GAS CO,53 MONROE HWY,WINDER,GA,30680.0,770,541103,SERVICE STATIONS-GASOLINE & OIL,f
COMPRESSOR ENGINEERING CORP,15888 INDUSTRY WAY,WALKER,LA,70785.0,225,769978,COMPRESSORS-AIR & GAS (WHLS),f
MANHEIM,4900 BUFFINGTON RD,ATLANTA,GA,30349.0,404,501204,SERVICE STATIONS-GASOLINE & OIL,f
S P FOOD MART,400 3RD ST,KENTWOOD,LA,70444.0,985,541103,SERVICE STATIONS-GASOLINE & OIL,f
CIRCLE K,1415 E FLORENCE BLVD,CASA GRANDE,AZ,85122.0,520,541103,SERVICE STATIONS-GASOLINE & OIL,f
J C PETROLEUM INC,2112 JUSTICE ST # C,MONROE,LA,71201.0,318,598303,OILS-PETROLEUM (WHLS),f
CIRCLE K,4353 S POWER RD,MESA,AZ,85212.0,480,541103,SERVICE STATIONS-GASOLINE & OIL,f
