Company,Symbol,Legal name
POSCO Holdings,5490,(주)포스코
Power Construction,601669,中国电力建设股份有限公司
Power Finance Corp,532810,Power Finance Corp Ltd
Prakash Industries,506022,Prakash Industries Ltd
Prima Andalan Mandiri,MCOL,PT Prima Andalan Mandiri Tbk
PT IMC Pelita Logistik,PSSI,PT IMC Pelita Logistik Tbk
Public Power Corp,PPC,ΔΗΜΟΣΙΑ ΕΠΙΧΕΙΡΗΣΗ ΗΛΕΚΤΡΙΣΜΟΥ ΑΕ
Qinghai Spring Medicinal,600381,青海春天药用资源科技股份有限公司
Qinhuangdao Port Co,3369,秦皇岛港股份有限公司
Ramaco Resources,METC,Ramaco Resources Inc
Ratch Group,RATCH,บริษัท ราช กรุ๊ป จำกัด (มหาชน)
Refex Industries,532884,Refex Industries Ltd
Reliance Infrastructure,500390,Reliance Infrastructure Ltd
Reliance Power,532939,Reliance Power Ltd
Resource Alam Indonesia,KKGI,PT Resource Alam Indonesia Tbk
RMK Energy,RMKE,PT RMK Energy Tbk
RusHydro,HYDR,РусГидро ПАО
RWE,RWE,RWE AG
SAIL,500113,Steel Authority Of India Ltd
Samindo Resources,MYOH,PT Samindo Resources Tbk
Sarda Energy & Minerals,504614,Sarda Energy & Minerals Ltd
Sasol,SOL,Sasol Ltd
Semirara Mining and Power,SCC,Semirara Mining and Power Corp
Severstal,CHMF,ПАО Северсталь
Shaanxi Coal Industry,601225,陕西煤业股份有限公司
Shaanxi Energy Investment,1286,陕西能源投资股份有限公司
Shan Xi Hua Yang Group,600348,山西华阳集团新能股份有限公司
Shanghai Datun Energy,600508,上海大屯能源股份有限公司
Shanxi Coal International,600546,山煤国际能源集团股份有限公司
Shanxi Coking Co,600740,山西焦化股份有限公司
Shanxi Coking Coal Energy,983,山西焦煤能源集团股份有限公司
Shanxi Lu'an,601699,山西潞安环保能源开发股份有限公司
Shanxi Meijin Energy Co,723,山西美锦能源股份有限公司
Shenzhen Energy Group,27,深圳能源集团股份有限公司
Shikoku Electric Power,9507,四国電力株式会社
Shougang Fushan Res Gr,639,首鋼福山資源集團有限公司
Shree Cement,500387,Shree Cement Ltd
South32,S32,South32 Ltd
SPIC Yuanda Environmental,600292,国家电投集团远达环保股份有限公司
Stanmore Resources,SMR,Stanmore Resources Ltd
Sumiseki Holdings,1514,住石ホールディングス株式会社
Sumitomo,8053,住友商事株式会社
SunCoke Energy,SXC,SunCoke Energy Inc
Sunflag Iron & Steel Co,500404,Sunflag Iron & Steel Co Ltd
Taiheiyo Kouhatsu,8835,太平洋興発株式会社
Tata Power Co,500400,Tata Power Co Ltd
Tata Steel,TATASTEEL,Tata Steel Ltd
Tata Steel Thailand,TSTH,บริษัท ทาทา สตีล (ประเทศไทย) จำกัด (มหาชน)
TAURON Polska Energia,TPE,TAURON Polska Energia S.A
TBEA Co,600089,特变电工股份有限公司
TBS Energi Utama,TOBA,PT TBS Energi Utama Tbk
Teck Resources,TECK.B,Teck Resources Ltd
Tenaga Nasional,5347,Tenaga Nasional Bhd
TerraCom,TER,TerraCom Ltd
Thungela Resources,TGA,Thungela Resources Ltd
Tiand Di Science & Tech,600582,天地科技股份有限公司
Tohoku Electric Power,9506,東北電力株式会社
Tokyo Electric Power,9501,東京電力ホールディングス株式会社
Trada Alam Minera,TRAM,PT Trada Alam Minera Tbk
Trans Power Marine,TPMA,PT Trans Power Marine Tbk
Transcoal Pacific,TCPI,PT Transcoal Pacific Tbk
UltraTech Cement,ULTRACEMCO,UltraTech Cement Ltd
United RUSAL Intl,RUAL,публичное акционерное общество ''Объединенная Компания ''РУСАЛ''''
United Tractors,UNTR,PT United Tractors Tbk
Vale,VALE3,Vale SA
Vedanta,500295,Vedanta Ltd
Vistra,VST,Vistra Corp
Warrior Met Coal,HCC,Warrior Met Coal Inc
Washington H Soul,SOL,Washington H Soul Pattinson & Co Ltd
Westshore Terminals,WTE,Westshore Terminals Investment Corp
Whitehaven Coal,WHC,Whitehaven Coal Ltd
Wintime Energy Group,600157,永泰能源集团股份有限公司
Wison Eng Servs Co,2236,惠生工程技术服务有限公司
Xinjiang Zhongtai,2092,新疆中泰化学股份有限公司
Yancoal Australia,YAL,Yancoal Australia Ltd
Yankuang Energy Gr,600188,兖矿能源集团股份有限公司
Yunnan Coal & Energy,600792,云南煤业能源股份有限公司
Ze Pak,ZEP,Ze Pak SA
Zhejiang Zheneng Electric,600023,浙江浙能电力股份有限公司
ZJMI Environmental Energy,603071,浙江物产环保能源股份有限公司
