original_uuids,mapped_uuid
f66622a7-92a6-4d6f-9cd3-ac8a4ede541a,f66622a7-92a6-4d6f-9cd3-ac8a4ede541a
efa94de4-443c-4b5b-8954-80cbe4de99af,efa94de4-443c-4b5b-8954-80cbe4de99af
efb211fa-a10b-454c-9c61-ac635ba0b08e,efb211fa-a10b-454c-9c61-ac635ba0b08e
afeddc2b-bd4f-4393-b1c3-639c72183ed3,afeddc2b-bd4f-4393-b1c3-639c72183ed3
7008dcfa-8287-429f-adb1-78344caac3e6,7008dcfa-8287-429f-adb1-78344caac3e6
7c663de2-be3d-46e5-9218-bb0ae5a3bf47,7c663de2-be3d-46e5-9218-bb0ae5a3bf47
7679bc8c-c483-4b88-a705-ae3bf6a59305,7679bc8c-c483-4b88-a705-ae3bf6a59305
a76c5380-d336-4f05-a90e-1a30ffa820e9,a76c5380-d336-4f05-a90e-1a30ffa820e9
abc9a739-ac1a-4ab8-a6ef-ec3a8e223c80,abc9a739-ac1a-4ab8-a6ef-ec3a8e223c80
9b572fe0-fc11-40d1-9fe3-193c682222f5,9b572fe0-fc11-40d1-9fe3-193c682222f5
296d858d-deb2-4a9e-b8db-b0ba9a60c888,296d858d-deb2-4a9e-b8db-b0ba9a60c888
aecbf731-1e1b-4129-8aa5-62743131cfad,aecbf731-1e1b-4129-8aa5-62743131cfad
90e51a92-44ef-418a-8f9c-ca3795b83015,90e51a92-44ef-418a-8f9c-ca3795b83015
a0512de2-30f3-43a7-9da8-8378fa8ad45e,a0512de2-30f3-43a7-9da8-8378fa8ad45e
80949e3c-99ca-4068-93db-798d5b963b3d,80949e3c-99ca-4068-93db-798d5b963b3d
e959236e-3d5c-4534-abf2-ec89390070bf,e959236e-3d5c-4534-abf2-ec89390070bf
1162a986-12ac-4b05-b6b0-c2501df77c9a,1162a986-12ac-4b05-b6b0-c2501df77c9a
3e03d738-7761-4673-959b-a881b4cd4bda,3e03d738-7761-4673-959b-a881b4cd4bda
e43517ff-b1bb-4e69-a260-6ea9f43dad00,e43517ff-b1bb-4e69-a260-6ea9f43dad00
20704323-7ffa-4e0d-ae1a-b3df61e1a832,20704323-7ffa-4e0d-ae1a-b3df61e1a832
ff143135-0e75-468c-9fb0-f2f71cb4cf13,ff143135-0e75-468c-9fb0-f2f71cb4cf13
8af98437-5fea-493e-8f23-3da8a36c5eaf,8af98437-5fea-493e-8f23-3da8a36c5eaf
7ea1afb8-0d82-4e26-ab65-f6d37eb4745a,7ea1afb8-0d82-4e26-ab65-f6d37eb4745a
e98dce6d-58e6-4c89-8515-77fe365aab07,e98dce6d-58e6-4c89-8515-77fe365aab07
0b50c82a-a670-4f43-8530-90787fefd573,0b50c82a-a670-4f43-8530-90787fefd573
00ddc559-5da6-4802-ae10-0b4024b502b5,00ddc559-5da6-4802-ae10-0b4024b502b5
cba1f3d7-fb5b-4231-a760-b08ee228422b,cba1f3d7-fb5b-4231-a760-b08ee228422b
7f6fc106-6fa2-4796-8335-ca44289d1ff7,7f6fc106-6fa2-4796-8335-ca44289d1ff7
f22633df-a27e-457c-b987-e890b97a5a0f,f22633df-a27e-457c-b987-e890b97a5a0f
5331dc1c-a31e-45d2-b779-4da221b58a39,5331dc1c-a31e-45d2-b779-4da221b58a39
ff0b6729-856b-4962-9fa5-555c73f128e8,ff0b6729-856b-4962-9fa5-555c73f128e8
c8ec4ac2-7c2f-4c9a-9214-8ec151f75c97,c8ec4ac2-7c2f-4c9a-9214-8ec151f75c97
e134484a-4113-4945-b9e9-324497a1f868,e134484a-4113-4945-b9e9-324497a1f868
8c081951-14d1-48d3-be76-4ba4a3177e39,8c081951-14d1-48d3-be76-4ba4a3177e39
e5820145-d454-4279-8eb6-d053040c8f13,e5820145-d454-4279-8eb6-d053040c8f13
ce9d0625-0979-416f-9b07-5ee48c32d76e,ce9d0625-0979-416f-9b07-5ee48c32d76e
db1a5fbf-5081-4506-8d85-49d809093426,db1a5fbf-5081-4506-8d85-49d809093426
41520d51-27ff-4423-8826-4515a1183110,41520d51-27ff-4423-8826-4515a1183110
de30d916-e368-4228-813e-1b0187a3ed29,de30d916-e368-4228-813e-1b0187a3ed29
